varietal,date,id,ph,treat,dpt,anthos,spp,lpp,tannins,phenolics,non_tannin
CS,6/20/2023,ACET-3.25,3.25,ACET,0,266,0.99,0.84,431,1278,847
CS,6/20/2023,ACET-3.25,3.25,ACET,0,219,0.68,1.23,358,1023,665
CS,6/20/2023,ACET-3.25,3.25,ACET,0,213,0.64,1.17,375,1036,660
CS,11/28/2023,ACET-3.25,3.25,ACET,161,0,1.18,3.87,370,1081,711
CS,11/28/2023,ACET-3.25,3.25,ACET,161,0,1.18,3.9,341,1010,669
CS,11/28/2023,ACET-3.25,3.25,ACET,161,0,1.02,3.95,369,1100,732
CS,3/28/2024,ACET-3.25,3.25,ACET,282,27,1.15,2.43,357,840,482
CS,3/28/2024,ACET-3.25,3.25,ACET,282,37,1.27,2.12,327,817,490
CS,3/28/2024,ACET-3.25,3.25,ACET,282,30,0.96,2.05,360,821,461
CS,11/30/2024,ACET-3.25,3.25,ACET,529,31,1.34,1.61,267,780,513
CS,11/30/2024,ACET-3.25,3.25,ACET,529,30,1.53,1.21,271,697,426
CS,11/30/2024,ACET-3.25,3.25,ACET,529,42,1.35,1.34,280,746,466
CS,6/20/2023,ACET-3.50,3.5,ACET,0,266,0.99,0.84,431,1278,847
CS,6/20/2023,ACET-3.50,3.5,ACET,0,219,0.68,1.23,358,1023,665
CS,6/20/2023,ACET-3.50,3.5,ACET,0,213,0.64,1.17,375,1036,660
CS,11/28/2023,ACET-3.50,3.5,ACET,161,0,1.18,4.21,366,1095,730
CS,11/28/2023,ACET-3.50,3.5,ACET,161,0,1,4,323,934,611
CS,11/28/2023,ACET-3.50,3.5,ACET,161,0,0.87,3.47,362,986,624
CS,3/28/2024,ACET-3.50,3.5,ACET,282,42,1.37,2.44,355,843,488
CS,3/28/2024,ACET-3.50,3.5,ACET,282,41,1.17,2.26,323,834,511
CS,3/28/2024,ACET-3.50,3.5,ACET,282,21,0.76,2.3,339,808,469
CS,11/30/2024,ACET-3.50,3.5,ACET,529,51,1.87,1.47,277,851,574
CS,11/30/2024,ACET-3.50,3.5,ACET,529,32,1.46,1.44,247,780,533
CS,11/30/2024,ACET-3.50,3.5,ACET,529,38,1.33,1.34,262,737,475
CS,6/20/2023,ACET-3.75,3.75,ACET,0,266,0.99,0.84,431,1278,847
CS,6/20/2023,ACET-3.75,3.75,ACET,0,219,0.68,1.23,358,1023,665
CS,6/20/2023,ACET-3.75,3.75,ACET,0,213,0.64,1.17,375,1036,660
CS,11/28/2023,ACET-3.75,3.75,ACET,161,31,1.46,3.97,371,1259,888
CS,11/28/2023,ACET-3.75,3.75,ACET,161,0,0.88,3.7,326,862,536
CS,11/28/2023,ACET-3.75,3.75,ACET,161,0,0.93,3.58,349,1086,737
CS,3/28/2024,ACET-3.75,3.75,ACET,282,63,1.59,2.23,348,963,614
CS,3/28/2024,ACET-3.75,3.75,ACET,282,20,1.15,2.15,308,819,511
CS,3/28/2024,ACET-3.75,3.75,ACET,282,39,1.06,2.13,336,853,517
CS,11/30/2024,ACET-3.75,3.75,ACET,529,16,2.13,1.57,303,992,689
CS,11/30/2024,ACET-3.75,3.75,ACET,529,67,1.97,1.3,250,776,527
CS,11/30/2024,ACET-3.75,3.75,ACET,529,40,1.59,1.4,281,925,644
CS,6/20/2023,ACET-4.00,4,ACET,0,266,0.99,0.84,431,1278,847
CS,6/20/2023,ACET-4.00,4,ACET,0,219,0.68,1.23,358,1023,665
CS,6/20/2023,ACET-4.00,4,ACET,0,213,0.64,1.17,375,1036,660
CS,11/28/2023,ACET-4.00,4,ACET,161,16,1.2,3.35,352,1080,728
CS,11/28/2023,ACET-4.00,4,ACET,161,10,1.05,3.68,337,1051,714
CS,11/28/2023,ACET-4.00,4,ACET,161,8,1.1,3.49,353,1049,696
CS,3/28/2024,ACET-4.00,4,ACET,282,46,1.26,2.22,319,955,637
CS,3/28/2024,ACET-4.00,4,ACET,282,56,1.4,1.91,301,877,576
CS,3/28/2024,ACET-4.00,4,ACET,282,62,1.17,1.84,304,912,608
CS,11/30/2024,ACET-4.00,4,ACET,529,83,1.91,1.39,301,955,654
CS,11/30/2024,ACET-4.00,4,ACET,529,63,1.97,1.34,265,908,643
CS,11/30/2024,ACET-4.00,4,ACET,529,78,1.7,1.22,274,881,607
CS,6/20/2023,CTRL-3.25,3.25,CTRL,0,204,0.71,1.13,337,996,658
CS,6/20/2023,CTRL-3.25,3.25,CTRL,0,248,0.79,0.9,397,1108,711
CS,6/20/2023,CTRL-3.25,3.25,CTRL,0,215,0.81,1.29,411,1090,679
CS,11/28/2023,CTRL-3.25,3.25,CTRL,161,33,0.68,3.11,326,1110,784
CS,11/28/2023,CTRL-3.25,3.25,CTRL,161,82,0.75,2.96,319,1220,901
CS,11/28/2023,CTRL-3.25,3.25,CTRL,161,115,0.63,3.1,368,1254,886
CS,3/28/2024,CTRL-3.25,3.25,CTRL,282,61,1,1.59,339,912,573
CS,3/28/2024,CTRL-3.25,3.25,CTRL,282,85,0.86,1.56,314,885,571
CS,3/28/2024,CTRL-3.25,3.25,CTRL,282,126,0.91,1.3,345,1000,655
CS,11/30/2024,CTRL-3.25,3.25,CTRL,529,0,1.48,2.28,329,873,544
CS,11/30/2024,CTRL-3.25,3.25,CTRL,529,58,1.54,1.27,324,797,473
CS,11/30/2024,CTRL-3.25,3.25,CTRL,529,78,1.6,1.29,364,1005,641
CS,6/20/2023,CTRL-3.50,3.5,CTRL,0,204,0.71,1.13,337,996,658
CS,6/20/2023,CTRL-3.50,3.5,CTRL,0,248,0.79,0.9,397,1108,711
CS,6/20/2023,CTRL-3.50,3.5,CTRL,0,215,0.81,1.29,411,1090,679
CS,11/28/2023,CTRL-3.50,3.5,CTRL,161,49,3.07,1.17,320,838,518
CS,11/28/2023,CTRL-3.50,3.5,CTRL,161,82,2.79,1.04,331,1062,730
CS,11/28/2023,CTRL-3.50,3.5,CTRL,161,108,1.84,1.4,352,1096,744
CS,3/28/2024,CTRL-3.50,3.5,CTRL,282,52,1.12,1.41,307,774,467
CS,3/28/2024,CTRL-3.50,3.5,CTRL,282,58,0.96,1.24,323,788,466
CS,3/28/2024,CTRL-3.50,3.5,CTRL,282,86,0.6,1.36,329,770,441
CS,11/30/2024,CTRL-3.50,3.5,CTRL,529,63,1.72,1.25,312,969,657
CS,11/30/2024,CTRL-3.50,3.5,CTRL,529,37,1.5,1.36,283,955,672
CS,11/30/2024,CTRL-3.50,3.5,CTRL,529,69,1.53,1.09,347,952,605
CS,6/20/2023,CTRL-3.75,3.75,CTRL,0,204,0.71,1.13,337,996,658
CS,6/20/2023,CTRL-3.75,3.75,CTRL,0,248,0.79,0.9,397,1108,711
CS,6/20/2023,CTRL-3.75,3.75,CTRL,0,215,0.81,1.29,411,1090,679
CS,11/28/2023,CTRL-3.75,3.75,CTRL,161,63,3.15,1.1,233,965,733
CS,11/28/2023,CTRL-3.75,3.75,CTRL,161,78,2.26,0.85,325,945,620
CS,11/28/2023,CTRL-3.75,3.75,CTRL,161,75,2.74,0.7,340,986,646
CS,3/28/2024,CTRL-3.75,3.75,CTRL,282,96,0.98,1.38,177,832,655
CS,3/28/2024,CTRL-3.75,3.75,CTRL,282,87,0.67,1.28,320,873,553
CS,3/28/2024,CTRL-3.75,3.75,CTRL,282,113,0.61,1.42,317,906,589
CS,11/30/2024,CTRL-3.75,3.75,CTRL,529,81,1.57,1.02,290,946,656
CS,11/30/2024,CTRL-3.75,3.75,CTRL,529,69,1.66,1.08,332,872,540
CS,11/30/2024,CTRL-3.75,3.75,CTRL,529,66,1.46,1.15,321,996,675
CS,6/20/2023,CTRL-4.00,4,CTRL,0,204,0.71,1.13,337,996,658
CS,6/20/2023,CTRL-4.00,4,CTRL,0,248,0.79,0.9,397,1108,711
CS,6/20/2023,CTRL-4.00,4,CTRL,0,215,0.81,1.29,411,1090,679
CS,11/28/2023,CTRL-4.00,4,CTRL,161,332,2.24,-1.11,251,919,668
CS,11/28/2023,CTRL-4.00,4,CTRL,161,323,2.58,0.78,248,953,706
CS,11/28/2023,CTRL-4.00,4,CTRL,161,400,2.92,0.52,272,951,679
CS,3/28/2024,CTRL-4.00,4,CTRL,282,104,0.72,1.37,306,818,512
CS,3/28/2024,CTRL-4.00,4,CTRL,282,124,0.65,1.57,316,977,661
CS,3/28/2024,CTRL-4.00,4,CTRL,282,149,0.85,1.25,333,981,648
CS,11/30/2024,CTRL-4.00,4,CTRL,529,79,1.55,0.85,264,925,661
CS,11/30/2024,CTRL-4.00,4,CTRL,529,108,1.41,0.94,300,1002,702
CS,11/30/2024,CTRL-4.00,4,CTRL,529,111,1.52,0.88,307,1021,714
CS,6/20/2023,GLUT-3.25,3.25,GLUT,0,209,0.82,0.95,335,974,640
CS,6/20/2023,GLUT-3.25,3.25,GLUT,0,211,0.61,1.19,325,1009,684
CS,6/20/2023,GLUT-3.25,3.25,GLUT,0,220,0.71,1.33,318,987,669
CS,11/28/2023,GLUT-3.25,3.25,GLUT,161,15,1.23,2.33,281,1140,859
CS,11/28/2023,GLUT-3.25,3.25,GLUT,161,32,0.74,2.73,294,1091,797
CS,11/28/2023,GLUT-3.25,3.25,GLUT,161,38,0.67,2.53,278,1078,801
CS,3/28/2024,GLUT-3.25,3.25,GLUT,282,34,1.23,0.24,217,897,680
CS,3/28/2024,GLUT-3.25,3.25,GLUT,282,73,1,-0.3,229,851,623
CS,3/28/2024,GLUT-3.25,3.25,GLUT,282,84,1.04,-0.39,216,823,607
CS,11/30/2024,GLUT-3.25,3.25,GLUT,529,50,1.94,1.16,230,886,656
CS,11/30/2024,GLUT-3.25,3.25,GLUT,529,71,1.66,0.71,219,982,763
CS,11/30/2024,GLUT-3.25,3.25,GLUT,529,77,1.74,0.74,204,915,711
CS,6/20/2023,GLUT-3.50,3.5,GLUT,0,209,0.82,0.95,335,974,640
CS,6/20/2023,GLUT-3.50,3.5,GLUT,0,211,0.61,1.19,325,1009,684
CS,6/20/2023,GLUT-3.50,3.5,GLUT,0,220,0.71,1.33,318,987,669
CS,11/28/2023,GLUT-3.50,3.5,GLUT,161,52,0.87,3.04,254,1040,786
CS,11/28/2023,GLUT-3.50,3.5,GLUT,161,58,1.75,1.85,258,968,711
CS,11/28/2023,GLUT-3.50,3.5,GLUT,161,43,0.29,2.65,255,947,691
CS,3/28/2024,GLUT-3.50,3.5,GLUT,282,71,1.27,-0.09,230,1043,813
CS,3/28/2024,GLUT-3.50,3.5,GLUT,282,74,0.61,-0.04,171,1011,840
CS,3/28/2024,GLUT-3.50,3.5,GLUT,282,73,0.58,0.02,224,877,653
CS,11/30/2024,GLUT-3.50,3.5,GLUT,529,59,1.75,1.2,239,869,630
CS,11/30/2024,GLUT-3.50,3.5,GLUT,529,66,1.52,0.38,215,943,728
CS,11/30/2024,GLUT-3.50,3.5,GLUT,529,67,1.66,0.78,197,833,635
CS,6/20/2023,GLUT-3.75,3.75,GLUT,0,209,0.82,0.95,335,974,640
CS,6/20/2023,GLUT-3.75,3.75,GLUT,0,211,0.61,1.19,325,1009,684
CS,6/20/2023,GLUT-3.75,3.75,GLUT,0,220,0.71,1.33,318,987,669
CS,11/28/2023,GLUT-3.75,3.75,GLUT,161,97,0.84,2.88,268,1052,784
CS,11/28/2023,GLUT-3.75,3.75,GLUT,161,37,0.57,2.28,279,902,623
CS,11/28/2023,GLUT-3.75,3.75,GLUT,161,61,0.68,2.31,256,926,670
CS,3/28/2024,GLUT-3.75,3.75,GLUT,282,96,1.01,-0.27,216,915,700
CS,3/28/2024,GLUT-3.75,3.75,GLUT,282,70,0.55,-0.06,245,899,654
CS,3/28/2024,GLUT-3.75,3.75,GLUT,282,73,0.67,-0.18,216,883,667
CS,11/30/2024,GLUT-3.75,3.75,GLUT,529,76,1.73,0.73,229,813,584
CS,11/30/2024,GLUT-3.75,3.75,GLUT,529,84,1.68,0.64,208,909,701
CS,11/30/2024,GLUT-3.75,3.75,GLUT,529,38,1.26,0.75,202,870,668
CS,6/20/2023,GLUT-4.00,4,GLUT,0,209,0.82,0.95,335,974,640
CS,6/20/2023,GLUT-4.00,4,GLUT,0,211,0.61,1.19,325,1009,684
CS,6/20/2023,GLUT-4.00,4,GLUT,0,220,0.71,1.33,318,987,669
CS,11/28/2023,GLUT-4.00,4,GLUT,161,77,1.57,1.54,264,979,715
CS,11/28/2023,GLUT-4.00,4,GLUT,161,68,0.4,2.7,273,964,691
CS,11/28/2023,GLUT-4.00,4,GLUT,161,92,0.81,2.57,253,982,729
CS,3/28/2024,GLUT-4.00,4,GLUT,282,99,0.69,-0.14,226,885,658
CS,3/28/2024,GLUT-4.00,4,GLUT,282,100,0.65,-0.22,233,917,684
CS,3/28/2024,GLUT-4.00,4,GLUT,282,101,0.76,-0.14,229,847,618
CS,11/30/2024,GLUT-4.00,4,GLUT,529,49,1.13,0.73,219,857,638
CS,11/30/2024,GLUT-4.00,4,GLUT,529,74,0.81,0.75,216,947,731
CS,11/30/2024,GLUT-4.00,4,GLUT,529,69,1.11,0.52,195,781,586
CS,6/20/2023,SO2-3.25,3.25,SO2,0,214,0.65,1.43,411,1103,692
CS,6/20/2023,SO2-3.25,3.25,SO2,0,205,0.62,1.2,347,1011,664
CS,6/20/2023,SO2-3.25,3.25,SO2,0,206,0.8,0.92,310,924,614
CS,11/28/2023,SO2-3.25,3.25,SO2,161,126,0.26,3.08,352,1134,782
CS,11/28/2023,SO2-3.25,3.25,SO2,161,127,0.19,3.32,310,1127,817
CS,11/28/2023,SO2-3.25,3.25,SO2,161,116,0.19,3.01,321,1148,828
CS,3/28/2024,SO2-3.25,3.25,SO2,282,166,0.78,1.17,325,1006,681
CS,3/28/2024,SO2-3.25,3.25,SO2,282,159,0.89,0.97,282,934,651
CS,3/28/2024,SO2-3.25,3.25,SO2,282,152,0.93,0.89,337,949,612
CS,11/30/2024,SO2-3.25,3.25,SO2,529,40,1.07,0.96,328,1054,726
CS,11/30/2024,SO2-3.25,3.25,SO2,529,63,0.94,0.85,283,947,664
CS,11/30/2024,SO2-3.25,3.25,SO2,529,60,1.14,0.67,261,867,607
CS,6/20/2023,SO2-3.50,3.5,SO2,0,214,0.65,1.43,411,1103,692
CS,6/20/2023,SO2-3.50,3.5,SO2,0,205,0.62,1.2,347,1011,664
CS,6/20/2023,SO2-3.50,3.5,SO2,0,206,0.8,0.92,310,924,614
CS,11/28/2023,SO2-3.50,3.5,SO2,161,147,0.74,2.61,351,1167,815
CS,11/28/2023,SO2-3.50,3.5,SO2,161,139,0.69,2.75,314,1088,774
CS,11/28/2023,SO2-3.50,3.5,SO2,161,89,0.16,2.65,284,996,713
CS,3/28/2024,SO2-3.50,3.5,SO2,282,187,0.86,1.06,343,1156,813
CS,3/28/2024,SO2-3.50,3.5,SO2,282,164,0.85,0.99,245,1090,845
CS,3/28/2024,SO2-3.50,3.5,SO2,282,144,0.69,1.02,270,845,575
CS,11/30/2024,SO2-3.50,3.5,SO2,529,92,1.16,0.95,325,964,639
CS,11/30/2024,SO2-3.50,3.5,SO2,529,75,0.97,0.79,288,936,648
CS,11/30/2024,SO2-3.50,3.5,SO2,529,42,0.98,0.77,260,902,642
CS,6/20/2023,SO2-3.75,3.75,SO2,0,214,0.65,1.43,411,1103,692
CS,6/20/2023,SO2-3.75,3.75,SO2,0,205,0.62,1.2,347,1011,664
CS,6/20/2023,SO2-3.75,3.75,SO2,0,206,0.8,0.92,310,924,614
CS,11/28/2023,SO2-3.75,3.75,SO2,161,182,0.82,2.8,346,1148,801
CS,11/28/2023,SO2-3.75,3.75,SO2,161,135,0.58,2.3,306,1141,835
CS,11/28/2023,SO2-3.75,3.75,SO2,161,124,0.66,2.3,271,1074,803
CS,3/28/2024,SO2-3.75,3.75,SO2,282,139,0.88,1.09,300,1129,829
CS,3/28/2024,SO2-3.75,3.75,SO2,282,123,0.6,1.08,253,920,667
CS,3/28/2024,SO2-3.75,3.75,SO2,282,116,0.72,1,274,910,637
CS,11/30/2024,SO2-3.75,3.75,SO2,529,95,1.26,1.06,317,979,662
CS,11/30/2024,SO2-3.75,3.75,SO2,529,128,1.04,0.84,267,910,643
CS,11/30/2024,SO2-3.75,3.75,SO2,529,92,0.99,0.9,249,916,667
CS,6/20/2023,SO2-4.00,4,SO2,0,214,0.65,1.43,411,1103,692
CS,6/20/2023,SO2-4.00,4,SO2,0,205,0.62,1.2,347,1011,664
CS,6/20/2023,SO2-4.00,4,SO2,0,206,0.8,0.92,310,924,614
CS,11/28/2023,SO2-4.00,4,SO2,161,174,0.4,2.65,362,1192,830
CS,11/28/2023,SO2-4.00,4,SO2,161,120,0.62,2.43,308,1105,797
CS,11/28/2023,SO2-4.00,4,SO2,161,143,0.66,2.6,275,1071,796
CS,3/28/2024,SO2-4.00,4,SO2,282,174,0.64,-0.11,308,1115,807
CS,3/28/2024,SO2-4.00,4,SO2,282,162,0.54,-0.18,263,939,676
CS,3/28/2024,SO2-4.00,4,SO2,282,127,0.69,1.09,251,939,688
CS,11/30/2024,SO2-4.00,4,SO2,529,114,1.19,1.15,340,1011,671
CS,11/30/2024,SO2-4.00,4,SO2,529,126,1.15,0.71,282,1017,735
CS,11/30/2024,SO2-4.00,4,SO2,529,137,0.8,1.07,256,922,666
