varietal,date,id,pH,treat,dpt,anthos,spp,lpp,tannins,phenolics,non_tannin
pv,6.28.2023,ACET-3.25,pH 3.25,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2024,ACET-3.25,pH 3.25,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2025,ACET-3.25,pH 3.25,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2026,ACET-3.50,pH 3.50,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2027,ACET-3.50,pH 3.50,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2028,ACET-3.50,pH 3.50,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2029,ACET-3.75,pH 3.75,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2030,ACET-3.75,pH 3.75,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2031,ACET-3.75,pH 3.75,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2032,ACET-4.00,pH 4.00,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2033,ACET-4.00,pH 4.00,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,6.28.2023,ACET-4.00,pH 4.00,ACET,0,420.8055556,1.711902214,3.2602986,1526.809215,2559.893406,1033.084192
pv,12.08.2023,ACET-3.25,pH 3.25,ACET,163,183.1544118,5.891824286,7.555896,1331.10461,2621.310784,1290.206174
pv,12.08.2023,ACET-3.25,pH 3.25,ACET,163,128.3602941,6.066668571,6.768036,1097.796379,2478.069916,1380.273537
pv,12.08.2023,ACET-3.25,pH 3.25,ACET,163,144.1764706,6.027325714,5.9292,1035.611379,2091.531456,1055.920077
pv,12.08.2023,ACET-3.50,pH 3.50,ACET,163,203.1936275,9.914747143,3.782484,1306.306223,2679.916504,1373.610281
pv,12.08.2023,ACET-3.50,pH 3.50,ACET,163,167.8161765,6.106242857,6.346404,1198.734966,2324.22629,1125.491324
pv,12.08.2023,ACET-3.50,pH 3.50,ACET,163,111.1004902,5.26905,6.410232,1007.431664,2125.716851,1118.285188
pv,12.08.2023,ACET-3.75,pH 3.75,ACET,163,506.4583333,9.654968571,0,1316.880094,2657.429824,1340.54973
pv,12.08.2023,ACET-3.75,pH 3.75,ACET,163,333.0759804,9.165034286,0,1161.073939,2445.828359,1284.75442
pv,12.08.2023,ACET-3.75,pH 3.75,ACET,163,137.7941176,9.220345714,3.043656,1019.560946,2076.803139,1057.242193
pv,12.08.2023,ACET-4.00,pH 4.00,ACET,163,493.1985294,9.47538,0,1263.160308,2527.846801,1264.686493
pv,12.08.2023,ACET-4.00,pH 4.00,ACET,163,424.8382353,9.363947143,0,1097.414918,2361.891565,1264.476647
pv,12.08.2023,ACET-4.00,pH 4.00,ACET,163,405.6568627,9.523054286,0,1071.049905,2143.408503,1072.358598
pv,3.28.2024,ACET-3.25,pH 3.25,ACET,274,11.4248366,4.213735714,4.718304,1412.183417,2700.483134,1288.299717
pv,3.28.2024,ACET-3.25,pH 3.25,ACET,274,0,4.305381429,3.646458,1259.289622,2402.363852,1143.07423
pv,3.28.2024,ACET-3.25,pH 3.25,ACET,274,5.215686275,4.174797857,3.218454,1081.8795,2229.385988,1147.506488
pv,3.28.2024,ACET-3.50,pH 3.50,ACET,274,51.87173203,4.496772857,4.37076,1400.646972,2666.438769,1265.791797
pv,3.28.2024,ACET-3.50,pH 3.50,ACET,274,9.107843137,4.478663571,3.389688,1241.866438,2411.301432,1169.434994
pv,3.28.2024,ACET-3.50,pH 3.50,ACET,274,0,3.562495714,3.78918,997.4219134,2188.048829,1190.626915
pv,3.28.2024,ACET-3.75,pH 3.75,ACET,274,96.65441176,4.506782143,3.943674,1308.383446,2855.198429,1546.814983
pv,3.28.2024,ACET-3.75,pH 3.75,ACET,274,0,3.90258,3.630528,1196.982283,2267.669757,1070.687474
pv,3.28.2024,ACET-3.75,pH 3.75,ACET,274,0,3.780790714,3.741012,1012.975172,2164.580034,1151.604861
pv,3.28.2024,ACET-4.00,pH 4.00,ACET,274,30.74264706,4.535768571,4.13424,1367.879525,2721.834776,1353.955251
pv,3.28.2024,ACET-4.00,pH 4.00,ACET,274,4.434640523,4.334194286,3.314034,1182.138423,2490.565537,1308.427114
pv,3.28.2024,ACET-4.00,pH 4.00,ACET,274,0,4.135281429,3.672432,1071.70748,2331.179252,1259.471772
pv,12.01.2024,ACET-3.25,pH 3.25,ACET,522,69.48039216,3.28266,4.308192,1177.395275,2623.268216,1445.872942
pv,12.01.2024,ACET-3.25,pH 3.25,ACET,522,51.42156863,2.867631429,3.349008,977.0949216,2178.057769,1200.962847
pv,12.01.2024,ACET-3.25,pH 3.25,ACET,522,48.21895425,2.96568,3.143448,890.5033604,1976.116028,1085.612667
pv,12.01.2024,ACET-3.50,pH 3.50,ACET,522,114.6879085,3.257665714,4.0824,1143.19402,2409.792578,1266.598558
pv,12.01.2024,ACET-3.50,pH 3.50,ACET,522,65.32843137,2.787865714,3.303504,1016.839968,2170.571271,1153.731303
pv,12.01.2024,ACET-3.50,pH 3.50,ACET,522,62.04084967,2.719594286,2.73816,882.2912645,1970.498605,1088.207341
pv,12.01.2024,ACET-3.75,pH 3.75,ACET,522,105.7026144,2.26044,4.573368,1107.768804,2422.026529,1314.257724
pv,12.01.2024,ACET-3.75,pH 3.75,ACET,522,94.1879085,2.136857143,4.045608,969.2833177,2257.59204,1288.308722
pv,12.01.2024,ACET-3.75,pH 3.75,ACET,522,41.62908497,1.619976857,3.7754856,898.9967805,1970.230138,1071.233358
pv,12.01.2024,ACET-4.00,pH 4.00,ACET,522,69.70751634,2.268231429,4.916088,1087.757233,2397.895061,1310.137828
pv,12.01.2024,ACET-4.00,pH 4.00,ACET,522,95.75653595,2.498348571,3.49848,953.2120981,2200.607319,1247.39522
pv,12.01.2024,ACET-4.00,pH 4.00,ACET,522,76.32352941,2.09304,3.613032,882.8763419,1949.711085,1066.834743
pv,6.28.2023,CTRL-3.25,pH 3.25,CTRL,0,406.7426471,1.716762214,3.3919326,1514.312098,2479.413492,965.1013943
pv,6.28.2024,CTRL-3.25,pH 3.25,CTRL,0,406.7426471,1.716762214,3.3919326,1514.312098,2479.413492,965.1013943
pv,6.28.2025,CTRL-3.25,pH 3.25,CTRL,0,406.7426471,1.716762214,3.3919326,1514.312098,2479.413492,965.1013943
pv,6.28.2026,CTRL-3.50,pH 3.50,CTRL,0,406.7426471,1.716762214,3.3919326,1514.312098,2479.413492,965.1013943
pv,6.28.2027,CTRL-3.50,pH 3.50,CTRL,0,406.7426471,1.716762214,3.3919326,1514.312098,2479.413492,965.1013943
pv,6.28.2028,CTRL-3.50,pH 3.50,CTRL,0,406.7426471,1.716762214,3.3919326,1514.312098,2479.413492,965.1013943
pv,6.28.2029,CTRL-3.75,pH 3.75,CTRL,0,406.7426471,1.716762214,3.3919326,1514.312098,2479.413492,965.1013943
pv,6.28.2030,CTRL-3.75,pH 3.75,CTRL,0,406.7426471,1.716762214,3.3919326,1514.312098,2479.413492,965.1013943
pv,6.28.2031,CTRL-3.75,pH 3.75,CTRL,0,406.7426471,1.716762214,3.3919326,1514.312098,2479.413492,965.1013943
pv,6.28.2032,CTRL-4.00,pH 4.00,CTRL,0,406.7426471,1.716762214,3.3919326,1514.312098,2479.413492,965.1013943
pv,6.28.2033,CTRL-4.00,pH 4.00,CTRL,0,406.7426471,1.716762214,3.3919326,1514.312098,2479.413492,965.1013943
pv,6.28.2023,CTRL-4.00,pH 4.00,CTRL,0,406.7426471,1.716762214,3.3919326,1514.312098,2479.413492,965.1013943
pv,12.08.2023,CTRL-3.25,pH 3.25,CTRL,163,328.7818627,8.989495714,5.18346,1026.142556,2276.403438,1250.260882
pv,12.08.2023,CTRL-3.25,pH 3.25,CTRL,163,400.3504902,9.122567143,5.900904,1020.658348,2268.405493,1247.747145
pv,12.08.2023,CTRL-3.25,pH 3.25,CTRL,163,431.8235294,9.270797143,7.341624,1345.3818,2887.686364,1542.304564
pv,12.08.2023,CTRL-3.50,pH 3.50,CTRL,163,380.7132353,9.125575714,5.989356,1072.05105,2295.231828,1223.180778
pv,12.08.2023,CTRL-3.50,pH 3.50,CTRL,163,404.9093137,8.896345714,6.863184,987.6357726,2455.243403,1467.607631
pv,12.08.2023,CTRL-3.50,pH 3.50,CTRL,163,469.3063725,8.827611429,5.335308,1284.869283,2874.070997,1589.201713
pv,12.08.2023,CTRL-3.75,pH 3.75,CTRL,163,384.6838235,9.028607143,6.987168,1010.617079,2235.982126,1225.365047
pv,12.08.2023,CTRL-3.75,pH 3.75,CTRL,163,472.5171569,8.618284286,4.425408,1003.694956,2501.081637,1497.38668
pv,12.08.2023,CTRL-3.75,pH 3.75,CTRL,163,487.7205882,9.141428571,5.7942,1380.568511,2971.726807,1591.158296
pv,12.08.2023,CTRL-4.00,pH 4.00,CTRL,163,423.1715686,8.594678571,4.656744,1047.760117,2231.188966,1183.42885
pv,12.08.2023,CTRL-4.00,pH 4.00,CTRL,163,500.997549,8.95698,5.301612,1027.395228,2428.551132,1401.155904
pv,12.08.2023,CTRL-4.00,pH 4.00,CTRL,163,501.9681373,9.181002857,6.950772,1279.053314,2905.192807,1626.139493
pv,3.28.2024,CTRL-3.25,pH 3.25,CTRL,274,271.875817,3.182142857,0.581472,1096.45914,2519.401977,1422.942837
pv,3.28.2024,CTRL-3.25,pH 3.25,CTRL,274,332.4648693,3.079330714,1.002564,942.3088164,2571.646043,1629.337227
pv,3.28.2024,CTRL-3.25,pH 3.25,CTRL,274,368.7438725,3.293112857,1.535274,1400.690301,3095.765471,1695.07517
pv,3.28.2024,CTRL-3.50,pH 3.50,CTRL,274,275.4791667,3.465758571,0.675756,1054.013279,2536.390177,1482.376897
pv,3.28.2024,CTRL-3.50,pH 3.50,CTRL,274,370.8995098,3.525004286,0.05265,969.4936737,2401.84221,1432.348536
pv,3.28.2024,CTRL-3.50,pH 3.50,CTRL,274,385.4517974,3.216799286,1.070226,1312.989018,3031.955224,1718.966206
pv,3.28.2024,CTRL-3.75,pH 3.75,CTRL,274,293.3153595,3.448112143,0.782568,1129.344679,2523.578512,1394.233833
pv,3.28.2024,CTRL-3.75,pH 3.75,CTRL,274,344.7446895,2.922711429,0.787806,1113.454986,2541.227685,1427.772699
pv,3.28.2024,CTRL-3.75,pH 3.75,CTRL,274,398.4129902,3.211476429,1.026972,1371.050157,3068.166018,1697.115861
pv,3.28.2024,CTRL-4.00,pH 4.00,CTRL,274,298.997549,3.27483,0.772632,1051.879984,2382.899976,1331.019992
pv,3.28.2024,CTRL-4.00,pH 4.00,CTRL,274,362.5461601,3.096687857,0.763992,1057.439635,2477.691003,1420.251368
pv,3.28.2024,CTRL-4.00,pH 4.00,CTRL,274,450.7720588,3.523847143,1.026378,1262.687092,3052.844694,1790.157602
pv,12.01.2024,CTRL-3.25,pH 3.25,CTRL,522,68.59313725,2.209448571,2.683872,1015.43482,2070.137335,1054.702515
pv,12.01.2024,CTRL-3.25,pH 3.25,CTRL,522,150.8594771,2.814094286,2.071152,1003.371114,2233.739235,1230.368122
pv,12.01.2024,CTRL-3.25,pH 3.25,CTRL,522,162.8921569,3.594471429,2.523312,1360.294533,2764.262796,1403.968263
pv,12.01.2024,CTRL-3.50,pH 3.50,CTRL,522,123.0669935,2.790411429,2.113848,1010.976791,2144.079671,1133.10288
pv,12.01.2024,CTRL-3.50,pH 3.50,CTRL,522,136.6797386,2.841017143,2.216808,1001.39302,2275.540265,1274.147245
pv,12.01.2024,CTRL-3.50,pH 3.50,CTRL,522,174.374183,3.302794286,2.563128,1208.1512,2864.669545,1656.518346
pv,12.01.2024,CTRL-3.75,pH 3.75,CTRL,522,125.253268,2.845877143,2.106288,989.3762786,2187.253622,1197.877343
pv,12.01.2024,CTRL-3.75,pH 3.75,CTRL,522,183.0882353,3.018908571,2.099664,979.8381584,2280.03964,1300.201482
pv,12.01.2024,CTRL-3.75,pH 3.75,CTRL,522,167.5343137,2.712034286,2.62548,1213.282662,2758.89515,1545.612488
pv,12.01.2024,CTRL-4.00,pH 4.00,CTRL,522,128.8366013,2.542397143,2.148696,969.5979455,2206.61045,1237.012505
pv,12.01.2024,CTRL-4.00,pH 4.00,CTRL,522,152.1683007,2.629568571,2.309544,1005.705827,2191.588178,1185.882351
pv,12.01.2024,CTRL-4.00,pH 4.00,CTRL,522,210.3464052,3.044442857,2.39688,1213.004566,2643.797465,1430.792899
pv,6.28.2023,GLUT-3.25,pH 3.25,GLUT,0,443.2928922,1.509998143,3.5219304,1653.276951,2702.7132,1049.436249
pv,6.28.2024,GLUT-3.25,pH 3.25,GLUT,0,443.2928922,1.509998143,3.5219304,1653.276951,2702.7132,1049.436249
pv,6.28.2025,GLUT-3.25,pH 3.25,GLUT,0,443.2928922,1.509998143,3.5219304,1653.276951,2702.7132,1049.436249
pv,6.28.2026,GLUT-3.50,pH 3.50,GLUT,0,443.2928922,1.509998143,3.5219304,1653.276951,2702.7132,1049.436249
pv,6.28.2027,GLUT-3.50,pH 3.50,GLUT,0,443.2928922,1.509998143,3.5219304,1653.276951,2702.7132,1049.436249
pv,6.28.2028,GLUT-3.50,pH 3.50,GLUT,0,443.2928922,1.509998143,3.5219304,1653.276951,2702.7132,1049.436249
pv,6.28.2029,GLUT-3.75,pH 3.75,GLUT,0,443.2928922,1.509998143,3.5219304,1653.276951,2702.7132,1049.436249
pv,6.28.2030,GLUT-3.75,pH 3.75,GLUT,0,443.2928922,1.509998143,3.5219304,1653.276951,2702.7132,1049.436249
pv,6.28.2031,GLUT-3.75,pH 3.75,GLUT,0,443.2928922,1.509998143,3.5219304,1653.276951,2702.7132,1049.436249
pv,6.28.2032,GLUT-4.00,pH 4.00,GLUT,0,443.2928922,1.509998143,3.5219304,1653.276951,2702.7132,1049.436249
pv,6.28.2033,GLUT-4.00,pH 4.00,GLUT,0,443.2928922,1.509998143,3.5219304,1653.276951,2702.7132,1049.436249
pv,6.28.2023,GLUT-4.00,pH 4.00,GLUT,0,443.2928922,1.509998143,3.5219304,1653.276951,2702.7132,1049.436249
pv,12.08.2023,GLUT-3.25,pH 3.25,GLUT,163,615.3823529,4.784322857,4.954824,763.38024,2180.061078,1416.680838
pv,12.08.2023,GLUT-3.25,pH 3.25,GLUT,163,634.0759804,5.265115714,4.612248,645.7186417,1827.393669,1181.675028
pv,12.08.2023,GLUT-3.25,pH 3.25,GLUT,163,702.4460784,5.577081429,4.409208,977.994655,2383.515072,1405.520417
pv,12.08.2023,GLUT-3.50,pH 3.50,GLUT,163,717.3186275,5.214664286,4.642488,793.7520678,2116.225345,1322.473277
pv,12.08.2023,GLUT-3.50,pH 3.50,GLUT,163,661.6102941,5.647667143,3.960144,622.0973132,1764.759242,1142.661928
pv,12.08.2023,GLUT-3.50,pH 3.50,GLUT,163,627.0171569,4.614454286,5.2704,925.9113298,2383.759751,1457.848421
pv,12.08.2023,GLUT-3.75,pH 3.75,GLUT,163,695.2573529,6.197425714,3.590028,806.9456178,2150.77606,1343.830442
pv,12.08.2023,GLUT-3.75,pH 3.75,GLUT,163,580.7058824,4.52709,4.50576,554.7083815,1826.892417,1272.184036
pv,12.08.2023,GLUT-3.75,pH 3.75,GLUT,163,673.9754902,5.13459,4.980204,1104.61001,2373.440754,1268.830744
pv,12.08.2023,GLUT-4.00,pH 4.00,GLUT,163,600.8308824,4.628571429,4.90482,686.3843438,2071.811007,1385.426663
pv,12.08.2023,GLUT-4.00,pH 4.00,GLUT,163,581.4730392,5.276455714,4.175388,641.198248,1835.705959,1194.507711
pv,12.08.2023,GLUT-4.00,pH 4.00,GLUT,163,591.6053922,5.693142857,4.6494,1052.308682,2520.995789,1468.687107
pv,3.28.2024,GLUT-3.25,pH 3.25,GLUT,274,339.3406863,3.65715,0.027162,780.6159221,2242.527289,1461.911367
pv,3.28.2024,GLUT-3.25,pH 3.25,GLUT,274,320.4195261,4.005912857,-0.314982,678.3723807,1877.333675,1198.961294
pv,3.28.2024,GLUT-3.25,pH 3.25,GLUT,274,349.7352941,4.144654286,1.636254,1041.916111,2492.568846,1450.652735
pv,3.28.2024,GLUT-3.50,pH 3.50,GLUT,274,315.1846405,3.907555714,1.111806,840.8961641,2097.745283,1256.849119
pv,3.28.2024,GLUT-3.50,pH 3.50,GLUT,274,292.2512255,3.616939286,1.32273,652.7295109,1867.925427,1215.195916
pv,3.28.2024,GLUT-3.50,pH 3.50,GLUT,274,384.3096405,3.852765,0,1044.061301,2483.862351,1439.801051
pv,3.28.2024,GLUT-3.75,pH 3.75,GLUT,274,347.0849673,3.835118571,1.187568,742.000817,2186.409139,1444.408322
pv,3.28.2024,GLUT-3.75,pH 3.75,GLUT,274,296.2042484,3.662646429,1.063368,630.7491799,1927.119056,1296.369876
pv,3.28.2024,GLUT-3.75,pH 3.75,GLUT,274,356.7839052,3.921730714,1.48392,1013.6268,2524.864776,1511.237976
pv,3.28.2024,GLUT-4.00,pH 4.00,GLUT,274,338.4080882,3.630709286,1.077192,788.0454983,2185.083795,1397.038297
pv,3.28.2024,GLUT-4.00,pH 4.00,GLUT,274,300.3602941,3.595358571,1.257876,641.8506404,2236.789227,1594.938587
pv,3.28.2024,GLUT-4.00,pH 4.00,GLUT,274,390.5126634,4.193601429,1.262628,1026.722225,2585.947871,1559.225646
pv,12.01.2024,GLUT-3.25,pH 3.25,GLUT,522,125.6879085,1.513419429,2.6147952,357.2432463,2181.447593,1824.204347
pv,12.01.2024,GLUT-3.25,pH 3.25,GLUT,522,66.39215686,1.480548857,2.6703864,626.887103,1744.823,1117.935897
pv,12.01.2024,GLUT-3.25,pH 3.25,GLUT,522,126.4477124,2.223565714,2.423376,937.8681756,2376.718433,1438.850258
pv,12.01.2024,GLUT-3.50,pH 3.50,GLUT,522,154.8186275,1.968917143,1.864656,739.285503,2150.39205,1411.106547
pv,12.01.2024,GLUT-3.50,pH 3.50,GLUT,522,89.58006536,1.625299714,2.2665816,616.6918045,1832.518335,1215.826531
pv,12.01.2024,GLUT-3.50,pH 3.50,GLUT,522,118.4264706,1.887068571,2.68668,932.3145738,2382.014714,1449.70014
pv,12.01.2024,GLUT-3.75,pH 3.75,GLUT,522,154.1535948,2.196565714,1.941336,752.1192568,2138.100328,1385.981071
pv,12.01.2024,GLUT-3.75,pH 3.75,GLUT,522,143.3562092,1.981645714,1.88136,576.0953658,1860.554472,1284.459106
pv,12.01.2024,GLUT-3.75,pH 3.75,GLUT,522,205.2205882,1.377293143,3.2768784,1001.655823,2383.107274,1381.451451
pv,12.01.2024,GLUT-4.00,pH 4.00,GLUT,522,217.8316993,1.889768571,2.285064,768.0926048,2160.50205,1392.409445
pv,12.01.2024,GLUT-4.00,pH 4.00,GLUT,522,167.1421569,1.810157143,2.531304,610.8784125,1803.637717,1192.759304
pv,12.01.2024,GLUT-4.00,pH 4.00,GLUT,522,207.4150327,2.029397143,2.795328,938.6560646,2474.262099,1535.606034
pv,6.28.2023,SO2-3.25,pH 3.25,SO2,0,450.9497141,1.765522286,3.089853,1713.599018,2868.909969,1155.310951
pv,6.28.2024,SO2-3.25,pH 3.25,SO2,0,450.9497141,1.765522286,3.089853,1713.599018,2868.909969,1155.310951
pv,6.28.2025,SO2-3.25,pH 3.25,SO2,0,450.9497141,1.765522286,3.089853,1713.599018,2868.909969,1155.310951
pv,6.28.2026,SO2-3.50,pH 3.50,SO2,0,450.9497141,1.765522286,3.089853,1713.599018,2868.909969,1155.310951
pv,6.28.2027,SO2-3.50,pH 3.50,SO2,0,450.9497141,1.765522286,3.089853,1713.599018,2868.909969,1155.310951
pv,6.28.2028,SO2-3.50,pH 3.50,SO2,0,450.9497141,1.765522286,3.089853,1713.599018,2868.909969,1155.310951
pv,6.28.2029,SO2-3.75,pH 3.75,SO2,0,450.9497141,1.765522286,3.089853,1713.599018,2868.909969,1155.310951
pv,6.28.2030,SO2-3.75,pH 3.75,SO2,0,450.9497141,1.765522286,3.089853,1713.599018,2868.909969,1155.310951
pv,6.28.2031,SO2-3.75,pH 3.75,SO2,0,450.9497141,1.765522286,3.089853,1713.599018,2868.909969,1155.310951
pv,6.28.2032,SO2-4.00,pH 4.00,SO2,0,450.9497141,1.765522286,3.089853,1713.599018,2868.909969,1155.310951
pv,6.28.2033,SO2-4.00,pH 4.00,SO2,0,450.9497141,1.765522286,3.089853,1713.599018,2868.909969,1155.310951
pv,6.28.2023,SO2-4.00,pH 4.00,SO2,0,450.9497141,1.765522286,3.089853,1713.599018,2868.909969,1155.310951
pv,12.08.2023,SO2-3.25,pH 3.25,SO2,163,714.9166667,4.479415714,5.211864,1057.621785,2415.124542,1357.502757
pv,12.08.2023,SO2-3.25,pH 3.25,SO2,163,814.0759804,5.498511429,4.873068,1217.382225,2672.52346,1455.141235
pv,12.08.2023,SO2-3.25,pH 3.25,SO2,163,830.3382353,5.873078571,4.863132,1285.066726,2693.65591,1408.589185
pv,12.08.2023,SO2-3.50,pH 3.50,SO2,163,815.7156863,5.654031429,4.184244,1079.972703,2315.157874,1235.185172
pv,12.08.2023,SO2-3.50,pH 3.50,SO2,163,861.7843137,4.924452857,5.236596,1226.577228,2581.17663,1354.599402
pv,12.08.2023,SO2-3.50,pH 3.50,SO2,163,723.7671569,4.715241429,5.469444,1245.240459,2817.981732,1572.741273
pv,12.08.2023,SO2-3.75,pH 3.75,SO2,163,850.3578431,5.02767,4.727592,1191.47709,2454.66399,1263.1869
pv,12.08.2023,SO2-3.75,pH 3.75,SO2,163,792.8455882,4.551737143,5.066388,1249.261529,2535.751293,1286.489763
pv,12.08.2023,SO2-3.75,pH 3.75,SO2,163,782.1372549,5.042018571,5.124168,1271.918202,2621.448416,1349.530214
pv,12.08.2023,SO2-4.00,pH 4.00,SO2,163,756.2083333,4.498855714,5.107428,1029.831781,2372.45694,1342.62516
pv,12.08.2023,SO2-4.00,pH 4.00,SO2,163,822.2647059,4.830261429,5.237244,1199.810619,2678.412748,1478.602129
pv,12.08.2023,SO2-4.00,pH 4.00,SO2,163,845.252451,5.635401429,4.913136,1302.452104,2697.241137,1394.789034
pv,3.28.2024,SO2-3.25,pH 3.25,SO2,274,331.0453431,3.442152857,1.256364,1027.21668,2532.597652,1505.380972
pv,3.28.2024,SO2-3.25,pH 3.25,SO2,274,337.2826797,3.797974286,2.038662,1208.962209,2860.442036,1651.479827
pv,3.28.2024,SO2-3.25,pH 3.25,SO2,274,299.4611928,4.067183571,2.131056,1354.437472,2899.628059,1545.190586
pv,3.28.2024,SO2-3.50,pH 3.50,SO2,274,359.688317,3.598425,1.340874,1039.366522,2181.114558,1141.748035
pv,3.28.2024,SO2-3.50,pH 3.50,SO2,274,396.5228758,3.958585714,1.00224,1215.543904,2866.64227,1651.098366
pv,3.28.2024,SO2-3.50,pH 3.50,SO2,274,374.056781,3.543634286,1.563894,1299.349013,2860.793762,1561.444749
pv,3.28.2024,SO2-3.75,pH 3.75,SO2,274,487.1339869,3.658596429,1.30275,1118.600891,2465.793486,1347.192595
pv,3.28.2024,SO2-3.75,pH 3.75,SO2,274,375.6956699,3.397892143,1.410426,1161.501278,2694.542872,1533.041594
pv,3.28.2024,SO2-3.75,pH 3.75,SO2,274,403.5473856,3.68388,1.583226,1290.791195,2768.350974,1477.559779
pv,3.28.2024,SO2-4.00,pH 4.00,SO2,274,501.7593954,3.443888571,1.19259,1083.925288,2357.470351,1273.545063
pv,3.28.2024,SO2-4.00,pH 4.00,SO2,274,551.7822712,3.612773571,1.120608,1183.665118,2626.240047,1442.574929
pv,3.28.2024,SO2-4.00,pH 4.00,SO2,274,527.0690359,3.826960714,1.405458,1349.150537,2767.385851,1418.235315
pv,12.01.2024,SO2-3.25,pH 3.25,SO2,522,294.8169935,1.053732857,2.857788,977.5905665,2481.364586,1503.77402
pv,12.01.2024,SO2-3.25,pH 3.25,SO2,522,337.7745098,1.630337143,2.752776,1070.289605,2667.077653,1596.788048
pv,12.01.2024,SO2-3.25,pH 3.25,SO2,522,329.1846405,1.624782857,3.427776,1216.39422,2780.185622,1563.791402
pv,12.01.2024,SO2-3.50,pH 3.50,SO2,522,378.0261438,1.881437143,2.333952,1026.972964,2432.625887,1405.652923
pv,12.01.2024,SO2-3.50,pH 3.50,SO2,522,368.5751634,1.28304,2.778984,1197.528959,2646.45665,1448.927691
pv,12.01.2024,SO2-3.50,pH 3.50,SO2,522,258.9787582,1.507464,2.9834496,1183.52654,2795.240178,1611.713638
pv,12.01.2024,SO2-3.75,pH 3.75,SO2,522,317.2598039,1.779994286,2.676816,1029.8062,2516.921204,1487.115004
pv,12.01.2024,SO2-3.75,pH 3.75,SO2,522,367.6944444,1.530792,2.8014048,1143.671258,2685.440473,1541.769215
pv,12.01.2024,SO2-3.75,pH 3.75,SO2,522,330.0114379,0.896716286,3.3999768,1158.588306,2830.958215,1672.369909
pv,12.01.2024,SO2-4.00,pH 4.00,SO2,522,370.2385621,1.524342857,2.34396,1015.298377,2473.026809,1457.728432
pv,12.01.2024,SO2-4.00,pH 4.00,SO2,522,417.869281,1.961742857,1.831248,1115.201241,2690.721461,1575.52022
pv,12.01.2024,SO2-4.00,pH 4.00,SO2,522,329.3218954,1.880048571,2.453184,1193.384635,2828.468946,1635.084312
